[Header]2022-04-24 22:26:04,746 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-04-24 22:26:04,764 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-04-24 22:26:04,765 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-04-24 22:26:04,765 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-04-24 22:26:04,765 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\db\prposdb.db3
2022-04-24 22:26:05,443 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-04-24 22:26:05,443 [ 1] INFO  SNSelfOrder.App: dd/MM/yyyy
2022-04-24 22:26:05,443 [ 1] INFO  SNSelfOrder.App: HH:mm:ss
2022-04-24 22:26:08,171 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"4C-72-B9-F8-CA-D1","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-04-24 22:26:13,668 [ 1] INFO  SNSelfOrder.App:  CheckCode return:{"Code":"","MAC":"","RetCode":"907","Message":"Connection code is registered by another station","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-04-24 22:26:13,715 [ 1] INFO  SNSelfOrder.App: doCheck 
2022-04-24 22:26:31,924 [14] INFO  SNSelfOrder.App: image path is C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\images
2022-04-24 22:26:31,926 [14] INFO  SNSelfOrder.App:  PageImage:14261
2022-04-24 22:26:31,930 [14] INFO  SNSelfOrder.App:  mod_button:0
2022-04-24 22:26:32,000 [14] INFO  SNSelfOrder.App:  posfastkey02:68
2022-04-24 22:26:32,025 [14] INFO  SNSelfOrder.App:  posfastkey02 image:22
2022-04-24 22:26:32,069 [14] INFO  SNSelfOrder.App:  psitem:43
2022-04-24 22:26:32,073 [14] INFO  SNSelfOrder.App:  psitem image:3
2022-04-24 22:26:32,076 [14] INFO  SNSelfOrder.App:  itemcombo:1
2022-04-24 22:26:32,220 [14] INFO  SNSelfOrder.App:  modifier:14
2022-04-24 22:26:32,221 [14] INFO  SNSelfOrder.App:  modifier image:0
2022-04-24 22:26:32,272 [14] INFO  SNSelfOrder.App:  psmodsetti image:1
2022-04-24 22:26:32,272 [14] INFO  SNSelfOrder.App:   ItemModValue:637864359922722762
2022-04-24 22:26:32,528 [14] INFO  SNSelfOrder.App:  itemmodifier:245
2022-04-24 22:26:32,528 [14] INFO  SNSelfOrder.App:   ItemVarietyValue:637864359925284799
2022-04-24 22:26:32,616 [14] INFO  SNSelfOrder.App:  itemvariety:61
2022-04-24 22:26:32,626 [14] INFO  SNSelfOrder.App:  promotions:2
2022-04-24 22:26:32,627 [14] INFO  SNSelfOrder.App:  end download check 
[Header]2022-04-24 22:31:51,594 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-04-24 22:31:51,619 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-04-24 22:31:51,620 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-04-24 22:31:51,620 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-04-24 22:31:51,620 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\db\prposdb.db3
2022-04-24 22:31:52,305 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-04-24 22:31:52,305 [ 1] INFO  SNSelfOrder.App: dd/MM/yyyy
2022-04-24 22:31:52,305 [ 1] INFO  SNSelfOrder.App: HH:mm:ss
2022-04-24 22:31:54,870 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"4C-72-B9-F8-CA-D1","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-04-24 22:31:55,301 [ 1] INFO  SNSelfOrder.App:  CheckCode return:{"Code":"","MAC":"","RetCode":"907","Message":"Connection code is registered by another station","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-04-24 22:31:55,338 [ 1] INFO  SNSelfOrder.App: doCheck 
2022-04-24 22:31:59,010 [ 4] INFO  SNSelfOrder.App: image path is C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\images
2022-04-24 22:31:59,011 [ 4] INFO  SNSelfOrder.App:  PageImage:6232
