[Header]2022-04-27 09:27:01,392 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-04-27 09:27:01,408 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-04-27 09:27:01,409 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-04-27 09:27:01,409 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-04-27 09:27:01,409 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\db\prposdb.db3
2022-04-27 09:27:02,178 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-04-27 09:27:02,178 [ 1] INFO  SNSelfOrder.App: dd/MM/yyyy
2022-04-27 09:27:02,178 [ 1] INFO  SNSelfOrder.App: HH:mm:ss
2022-04-27 09:27:05,045 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"4C-72-B9-F8-CA-D1","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-04-27 09:27:05,574 [ 1] INFO  SNSelfOrder.App:  CheckCode return:{"Code":"","MAC":"","RetCode":"907","Message":"Connection code is registered by another station","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-04-27 09:27:05,641 [ 1] INFO  SNSelfOrder.App: doCheck 
2022-04-27 09:27:44,734 [14] INFO  SNSelfOrder.App: image path is C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\images
2022-04-27 09:27:44,736 [14] INFO  SNSelfOrder.App:  PageImage:10555
2022-04-27 09:27:44,740 [14] INFO  SNSelfOrder.App:  mod_button:0
2022-04-27 09:27:44,813 [14] INFO  SNSelfOrder.App:  posfastkey02:72
2022-04-27 09:27:44,833 [14] INFO  SNSelfOrder.App:  posfastkey02 image:17
2022-04-27 09:27:44,879 [14] INFO  SNSelfOrder.App:  psitem:45
2022-04-27 09:27:44,882 [14] INFO  SNSelfOrder.App:  psitem image:2
2022-04-27 09:27:44,884 [14] INFO  SNSelfOrder.App:  itemcombo:1
2022-04-27 09:27:45,035 [14] INFO  SNSelfOrder.App:  modifier:17
2022-04-27 09:27:45,036 [14] INFO  SNSelfOrder.App:  modifier image:0
2022-04-27 09:27:45,079 [14] INFO  SNSelfOrder.App:  psmodsetti image:1
2022-04-27 09:27:45,079 [14] INFO  SNSelfOrder.App:   ItemModValue:637866484650796576
2022-04-27 09:27:45,326 [14] INFO  SNSelfOrder.App:  itemmodifier:239
2022-04-27 09:27:45,326 [14] INFO  SNSelfOrder.App:   ItemVarietyValue:637866484653262092
2022-04-27 09:27:45,407 [14] INFO  SNSelfOrder.App:  itemvariety:61
2022-04-27 09:27:45,418 [14] INFO  SNSelfOrder.App:  promotions:2
2022-04-27 09:27:45,419 [14] INFO  SNSelfOrder.App:  end download check 
[Header]2022-04-27 13:24:51,218 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-04-27 13:24:51,229 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-04-27 13:24:51,230 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-04-27 13:24:51,230 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-04-27 13:24:51,230 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\db\prposdb.db3
2022-04-27 13:24:51,712 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
