[Header]2022-05-17 11:54:43,178 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-05-17 11:54:43,192 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-05-17 11:54:43,193 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-05-17 11:54:43,193 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-05-17 11:54:43,193 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\db\prposdb.db3
2022-05-17 11:54:43,851 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-05-17 11:54:43,852 [ 1] INFO  SNSelfOrder.App: dd/MM/yyyy
2022-05-17 11:54:43,852 [ 1] INFO  SNSelfOrder.App: HH:mm:ss
2022-05-17 11:54:46,400 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"4C-72-B9-F8-CA-D1","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-05-17 11:54:46,874 [ 1] INFO  SNSelfOrder.App:  CheckCode return:{"Code":"","MAC":"","RetCode":"907","Message":"Connection code is registered by another station","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-05-17 11:54:46,935 [ 1] INFO  SNSelfOrder.App: doCheck 
2022-05-17 11:54:50,535 [13] INFO  SNSelfOrder.App: image path is C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\images
2022-05-17 11:54:50,537 [13] INFO  SNSelfOrder.App:  PageImage:13820
2022-05-17 11:54:50,541 [13] INFO  SNSelfOrder.App:  mod_button:0
2022-05-17 11:54:50,627 [13] INFO  SNSelfOrder.App:  posfastkey02:84
2022-05-17 11:54:51,280 [ 4] INFO  SNSelfOrder.App:  posfastkey02 image:650
2022-05-17 11:54:51,343 [ 4] INFO  SNSelfOrder.App:  psitem:63
2022-05-17 11:54:51,947 [ 4] INFO  SNSelfOrder.App:  psitem image:602
2022-05-17 11:54:51,948 [ 4] INFO  SNSelfOrder.App:  itemcombo:1
2022-05-17 11:54:52,108 [ 4] INFO  SNSelfOrder.App:  modifier:12
2022-05-17 11:54:52,109 [ 4] INFO  SNSelfOrder.App:  modifier image:0
2022-05-17 11:54:53,849 [ 6] INFO  SNSelfOrder.App:  psmodsetti image:1671
2022-05-17 11:54:53,849 [ 6] INFO  SNSelfOrder.App:   ItemModValue:637883852938496879
2022-05-17 11:54:54,061 [ 6] INFO  SNSelfOrder.App:  itemmodifier:208
2022-05-17 11:54:54,061 [ 6] INFO  SNSelfOrder.App:   ItemVarietyValue:637883852940613145
2022-05-17 11:54:54,126 [ 6] INFO  SNSelfOrder.App:  itemvariety:49
2022-05-17 11:54:54,137 [ 6] INFO  SNSelfOrder.App:  promotions:2
2022-05-17 11:54:54,151 [ 6] INFO  SNSelfOrder.App:  end download check 
[Header]2022-05-17 12:02:49,615 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-05-17 12:02:49,628 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-05-17 12:02:49,629 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-05-17 12:02:49,629 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-05-17 12:02:49,629 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\db\prposdb.db3
2022-05-17 12:02:50,180 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-05-17 12:02:50,180 [ 1] INFO  SNSelfOrder.App: dd/MM/yyyy
2022-05-17 12:02:50,180 [ 1] INFO  SNSelfOrder.App: HH:mm:ss
2022-05-17 12:02:52,492 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"4C-72-B9-F8-CA-D1","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-05-17 12:02:52,934 [ 1] INFO  SNSelfOrder.App:  CheckCode return:{"Code":"","MAC":"","RetCode":"907","Message":"Connection code is registered by another station","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-05-17 12:02:52,979 [ 1] INFO  SNSelfOrder.App: doCheck 
2022-05-17 12:02:56,284 [15] INFO  SNSelfOrder.App: image path is C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\images
2022-05-17 12:02:56,285 [15] INFO  SNSelfOrder.App:  PageImage:6167
2022-05-17 12:02:56,288 [15] INFO  SNSelfOrder.App:  mod_button:0
2022-05-17 12:02:56,356 [15] INFO  SNSelfOrder.App:  posfastkey02:67
2022-05-17 12:02:56,366 [15] INFO  SNSelfOrder.App:  posfastkey02 image:6
2022-05-17 12:02:56,423 [15] INFO  SNSelfOrder.App:  psitem:56
2022-05-17 12:02:56,426 [15] INFO  SNSelfOrder.App:  psitem image:3
2022-05-17 12:02:56,428 [15] INFO  SNSelfOrder.App:  itemcombo:1
2022-05-17 12:02:56,614 [15] INFO  SNSelfOrder.App:  modifier:14
2022-05-17 12:02:56,615 [15] INFO  SNSelfOrder.App:  modifier image:0
2022-05-17 12:02:56,668 [15] INFO  SNSelfOrder.App:  psmodsetti image:1
2022-05-17 12:02:56,668 [15] INFO  SNSelfOrder.App:   ItemModValue:637883857766689282
2022-05-17 12:02:56,911 [15] INFO  SNSelfOrder.App:  itemmodifier:240
2022-05-17 12:02:56,911 [15] INFO  SNSelfOrder.App:   ItemVarietyValue:637883857769111486
2022-05-17 12:02:56,981 [15] INFO  SNSelfOrder.App:  itemvariety:52
2022-05-17 12:02:56,989 [15] INFO  SNSelfOrder.App:  promotions:2
2022-05-17 12:02:56,990 [15] INFO  SNSelfOrder.App:  end download check 
[Header]2022-05-17 12:10:28,904 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-05-17 12:10:28,917 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-05-17 12:10:28,917 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-05-17 12:10:28,918 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-05-17 12:10:28,918 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\db\prposdb.db3
2022-05-17 12:10:29,399 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-05-17 12:10:29,399 [ 1] INFO  SNSelfOrder.App: dd/MM/yyyy
