[Header]2022-03-18 15:25:29,171 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-03-18 15:25:29,183 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-03-18 15:25:29,183 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-03-18 15:25:29,184 [ 1] INFO  SNSelfOrder.App: Data Path atC:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-03-18 15:25:29,184 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\db\prposdb.db3
2022-03-18 15:25:29,644 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-03-18 15:25:31,850 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"4C-72-B9-F8-CA-D1","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-03-18 15:25:32,290 [ 1] INFO  SNSelfOrder.App:  CheckCode return:{"Code":"","MAC":"","RetCode":"907","Message":"Connection code is registered by another station","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-03-18 15:25:32,328 [ 1] INFO  SNSelfOrder.App: doCheck 
2022-03-18 15:25:35,072 [ 4] INFO  SNSelfOrder.App: image path is C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\images
2022-03-18 15:25:35,073 [ 4] INFO  SNSelfOrder.App:  PageImage:6930
2022-03-18 15:25:35,076 [ 4] INFO  SNSelfOrder.App:  mod_button:0
2022-03-18 15:25:35,145 [ 4] INFO  SNSelfOrder.App:  posfastkey02:68
2022-03-18 15:25:35,155 [ 4] INFO  SNSelfOrder.App:  posfastkey02 image:8
2022-03-18 15:25:35,203 [ 4] INFO  SNSelfOrder.App:  psitem:47
2022-03-18 15:25:35,208 [ 4] INFO  SNSelfOrder.App:  psitem image:4
2022-03-18 15:25:35,211 [ 4] INFO  SNSelfOrder.App:  itemcombo:1
2022-03-18 15:25:35,386 [ 4] INFO  SNSelfOrder.App:  modifier:16
2022-03-18 15:25:35,387 [ 4] INFO  SNSelfOrder.App:  modifier image:0
