[Header]2022-03-19 00:08:00,657 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-03-19 00:08:00,670 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-03-19 00:08:00,671 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-03-19 00:08:00,671 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-03-19 00:08:00,671 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\db\prposdb.db3
2022-03-19 00:08:01,282 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-03-19 00:08:01,282 [ 1] INFO  SNSelfOrder.App: dd/MM/yyyy
2022-03-19 00:08:01,283 [ 1] INFO  SNSelfOrder.App: HH:mm:ss
2022-03-19 00:08:03,782 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"4C-72-B9-F8-CA-D1","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-03-19 00:08:04,252 [ 1] INFO  SNSelfOrder.App:  CheckCode return:{"Code":"","MAC":"","RetCode":"907","Message":"Connection code is registered by another station","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-03-19 00:08:04,289 [ 1] INFO  SNSelfOrder.App: doCheck 
2022-03-19 00:08:10,911 [13] INFO  SNSelfOrder.App: image path is C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\images
2022-03-19 00:08:10,912 [13] INFO  SNSelfOrder.App:  PageImage:6277
2022-03-19 00:08:10,916 [13] INFO  SNSelfOrder.App:  mod_button:0
2022-03-19 00:08:10,981 [13] INFO  SNSelfOrder.App:  posfastkey02:65
2022-03-19 00:08:10,992 [13] INFO  SNSelfOrder.App:  posfastkey02 image:8
2022-03-19 00:08:11,036 [13] INFO  SNSelfOrder.App:  psitem:43
2022-03-19 00:08:11,040 [13] INFO  SNSelfOrder.App:  psitem image:2
2022-03-19 00:08:11,042 [13] INFO  SNSelfOrder.App:  itemcombo:1
2022-03-19 00:08:11,220 [13] INFO  SNSelfOrder.App:  modifier:13
2022-03-19 00:08:11,221 [13] INFO  SNSelfOrder.App:  modifier image:0
2022-03-19 00:08:11,274 [13] INFO  SNSelfOrder.App:  psmodsetti image:1
2022-03-19 00:08:11,274 [13] INFO  SNSelfOrder.App:   ItemModValue:637832452912746245
2022-03-19 00:08:11,515 [13] INFO  SNSelfOrder.App:  itemmodifier:237
2022-03-19 00:08:11,515 [13] INFO  SNSelfOrder.App:   ItemVarietyValue:637832452915155603
2022-03-19 00:08:11,597 [13] INFO  SNSelfOrder.App:  itemvariety:63
2022-03-19 00:08:11,605 [13] INFO  SNSelfOrder.App:  promotions:2
2022-03-19 00:08:11,606 [13] INFO  SNSelfOrder.App:  end download check 
[Header]2022-03-19 00:08:48,944 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-03-19 00:08:48,956 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-03-19 00:08:48,957 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-03-19 00:08:48,957 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder
2022-03-19 00:08:48,957 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\db\prposdb.db3
2022-03-19 00:08:49,520 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-03-19 00:08:49,520 [ 1] INFO  SNSelfOrder.App: dd/MM/yyyy
2022-03-19 00:08:49,520 [ 1] INFO  SNSelfOrder.App: HH:mm:ss
2022-03-19 00:08:51,783 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"4C-72-B9-F8-CA-D1","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-03-19 00:08:52,292 [ 1] INFO  SNSelfOrder.App:  CheckCode return:{"Code":"","MAC":"","RetCode":"907","Message":"Connection code is registered by another station","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-03-19 00:08:52,336 [ 1] INFO  SNSelfOrder.App: doCheck 
2022-03-19 00:08:56,321 [ 9] INFO  SNSelfOrder.App: image path is C:\Users\user\Desktop\PRSelfOrder_GIOV2\PRSelfOrder\PRSelfOrder\images
2022-03-19 00:08:56,322 [ 9] INFO  SNSelfOrder.App:  PageImage:7438
2022-03-19 00:08:56,327 [ 9] INFO  SNSelfOrder.App:  mod_button:0
2022-03-19 00:08:56,383 [ 9] INFO  SNSelfOrder.App:  posfastkey02:56
2022-03-19 00:08:56,393 [ 9] INFO  SNSelfOrder.App:  posfastkey02 image:7
2022-03-19 00:08:56,449 [ 9] INFO  SNSelfOrder.App:  psitem:55
2022-03-19 00:08:56,452 [ 9] INFO  SNSelfOrder.App:  psitem image:3
2022-03-19 00:08:56,454 [ 9] INFO  SNSelfOrder.App:  itemcombo:1
2022-03-19 00:08:56,627 [ 9] INFO  SNSelfOrder.App:  modifier:14
2022-03-19 00:08:56,628 [ 9] INFO  SNSelfOrder.App:  modifier image:0
2022-03-19 00:08:56,682 [ 9] INFO  SNSelfOrder.App:  psmodsetti image:1
2022-03-19 00:08:56,682 [ 9] INFO  SNSelfOrder.App:   ItemModValue:637832453366823259
2022-03-19 00:08:56,907 [ 9] INFO  SNSelfOrder.App:  itemmodifier:221
2022-03-19 00:08:56,907 [ 9] INFO  SNSelfOrder.App:   ItemVarietyValue:637832453369078086
2022-03-19 00:08:56,974 [ 9] INFO  SNSelfOrder.App:  itemvariety:48
2022-03-19 00:08:56,983 [ 9] INFO  SNSelfOrder.App:  promotions:2
2022-03-19 00:08:56,984 [ 9] INFO  SNSelfOrder.App:  end download check 
[Header]2022-03-19 21:22:28,438 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
